date,total_volume,avg_trade_size,trade_count,total_pnl,avg_pnl,pnl_volatility,avg_price,price_volatility,profit_ratio,unique_traders,value,classification,datetime,volume_per_trader,pnl_per_trade,risk_adjusted_return
2024-02-01,2008.18,334.69666666666666,6,0.0,0.0,0.0,0.07612616666666668,0.0876728802091426,0.0,1,63,Greed,2024-02-01 05:30:00,2008.18,0.0,
2024-02-02,474278.43,11292.343571428572,42,456.423473,10.867225547619048,41.93124714430262,15601.771341142858,19639.423920350528,0.30952380952380953,1,63,Greed,2024-02-02 05:30:00,474278.43,10.867225547619048,0.25916771590934246
2024-02-03,603820.0,10782.5,56,223.30918699999998,3.9876640535714283,68.62663189543068,29939.640223214286,19282.53294251475,0.10714285714285714,1,60,Greed,2024-02-03 05:30:00,603820.0,3.9876640535714283,0.05810665544023204
2024-02-04,203187.53,5805.358,35,47.62389499999999,1.360682714285714,31.922762604224417,12108.636457142857,18462.1662366605,0.2571428571428571,1,60,Greed,2024-02-04 05:30:00,203187.53,1.360682714285714,0.04262421555287485
2024-02-05,770198.26,10697.198055555556,72,-33.45419400000003,-0.4646415833333337,46.10792460482958,15958.2223625,19622.221756634914,0.19444444444444445,1,60,Greed,2024-02-05 05:30:00,770198.26,-0.4646415833333337,-0.010077260846493723
2024-02-06,8047153.41,7396.280707720588,1088,-215.615907,-0.19817638511029412,12.69131338108202,22118.307961134193,20245.162112718543,0.1645220588235294,1,64,Greed,2024-02-06 05:30:00,8047153.41,-0.19817638511029412,-0.015615120292096848
2024-02-07,6758.73,450.582,15,241.24212,16.082808,56.54657345272468,3.98582,2.899661550742973,0.13333333333333333,1,62,Greed,2024-02-07 05:30:00,6758.73,16.082808,0.2844170215450085
2024-02-08,26051.12,2605.112,10,770.756024,77.07560240000001,139.74567826297627,10.0228845,9.311771566092043,0.4,1,66,Greed,2024-02-08 05:30:00,26051.12,77.07560240000001,0.5515419393146281
2024-02-11,212311.82,6244.465294117647,34,983.443176,28.924799294117648,108.62231864377547,17890.449081970586,22727.73364910264,0.20588235294117646,1,71,Greed,2024-02-11 05:30:00,212311.82,28.924799294117648,0.26628780949683
2024-02-12,227247.69999999998,14202.981249999999,16,913.8817869999998,57.11761168749999,828.6571214700353,28717.7418125,24805.345609028725,0.375,1,70,Greed,2024-02-12 05:30:00,227247.69999999998,57.11761168749999,0.06892791989305964
2024-02-13,1999.99,142.85642857142858,14,559.44389,39.960277857142856,37.98023035380744,0.06054285714285714,0.0018752289237539829,1.0,1,79,Extreme Greed,2024-02-13 05:30:00,1999.99,39.960277857142856,1.0521336359703495
2024-02-14,320839.88,2890.4493693693694,111,3830.599833,34.509908405405405,46.39591290180694,5443.060992846847,15472.553170488463,0.7477477477477478,2,74,Greed,2024-02-14 05:30:00,160419.94,34.509908405405405,0.7438135440602869
2024-02-15,185188.04,2939.4926984126987,63,1840.797677,29.219010746031746,316.49357810076214,2750.1658545873015,11158.071210375158,0.9047619047619048,2,72,Greed,2024-02-15 05:30:00,92594.02,29.219010746031746,0.09232102250343065
2024-02-16,564896.51,3103.826978021978,182,5491.768834,30.174554032967034,123.4402416266129,696.7813038571429,5456.604965111587,0.8021978021978022,2,72,Greed,2024-02-16 05:30:00,282448.255,30.174554032967034,0.2444466539869572
2024-02-17,406118.07,4320.405,94,1929.6418,20.52810425531915,60.99818527497303,3403.646719574468,11610.298460259764,0.648936170212766,2,76,Extreme Greed,2024-02-17 05:30:00,203059.035,20.52810425531915,0.33653631108500587
2024-02-18,157048.17,1619.0532989690723,97,477.6248299999999,4.923967319587628,82.70537448739243,3.395497731958763,6.456487338694623,0.6288659793814433,1,72,Greed,2024-02-18 05:30:00,157048.17,4.923967319587628,0.05953624356465776
2024-02-19,286377.2,2835.417821782178,101,4317.768563,42.750183792079206,118.65122386431476,2068.0068288118814,10215.224351640929,0.7623762376237624,2,75,Extreme Greed,2024-02-19 05:30:00,143188.6,42.750183792079206,0.36030124595231117
2024-02-20,119419.72,3062.0441025641026,39,3263.628824,83.68279035897436,192.32028933388216,2681.8062438974357,11585.887115864216,0.7948717948717948,2,72,Greed,2024-02-20 05:30:00,59709.86,83.68279035897436,0.43512200740138696
2024-02-21,108047.51999999999,4911.250909090909,22,1858.7985700000002,84.49084409090909,124.40293552909927,27.589205454545457,41.49904436827268,0.6818181818181818,2,78,Extreme Greed,2024-02-21 05:30:00,54023.759999999995,84.49084409090909,0.6791708228713439
2024-02-22,373033.87,4239.02125,88,3894.1050699999996,44.25119397727272,227.58249822355432,1175.5737064772727,7732.110073898038,0.45454545454545453,2,74,Greed,2024-02-22 05:30:00,186516.935,44.25119397727272,0.1944402329822602
2024-02-23,111106.14,776.966013986014,143,1418.55293,9.91995055944056,13.037213323027334,725.5068307692308,6092.0142466450225,0.958041958041958,1,76,Extreme Greed,2024-02-23 05:30:00,111106.14,9.91995055944056,0.7608950098192515
2024-02-25,4480.13,896.0260000000001,5,-30.7705,-6.1541,8.951179489427636,0.5663259999999999,0.0042667587229652205,0.0,1,74,Greed,2024-02-25 05:30:00,4480.13,-6.1541,-0.6875183328933012
2024-02-26,192187.14,4927.875384615385,39,4416.8473,113.25249487179488,224.52232628850106,5.614911538461539,3.164004281426789,0.8717948717948718,2,72,Greed,2024-02-26 05:30:00,96093.57,113.25249487179488,0.5044152924296291
2024-02-27,209362.3,3323.2111111111108,63,888.511733,14.103360841269842,91.69654366328295,36.161129396825395,56.79005691016645,0.4126984126984127,2,79,Extreme Greed,2024-02-27 05:30:00,104681.15,14.103360841269842,0.1538047158359481
2024-02-28,171107.13,3802.380666666667,45,2503.747235,55.63882744444444,130.75309252773027,1.2982939111111111,2.2751265969285375,0.8666666666666667,1,82,Extreme Greed,2024-02-28 05:30:00,171107.13,55.63882744444444,0.42552590052617295
2024-02-29,395666.73,3410.9200862068965,116,9813.996992,84.60342234482759,149.76818963391887,11.306912146551724,16.08881469758988,0.8620689655172413,2,80,Extreme Greed,2024-02-29 05:30:00,197833.365,84.60342234482759,0.5648958069909591
2024-03-01,472974.7,3452.370072992701,137,8244.241409,60.176944591240876,111.95860869453276,2.725657408759124,2.904073684094302,0.9343065693430657,1,80,Extreme Greed,2024-03-01 05:30:00,472974.7,60.176944591240876,0.537492786780044
2024-03-02,63197.56,2038.6309677419354,31,230.90060000000005,7.448406451612905,250.64780257055287,0.8005309032258064,0.6194783616347095,0.6774193548387096,2,80,Extreme Greed,2024-03-02 05:30:00,31598.78,7.448406451612905,0.029716623785346417
2024-03-03,390745.68,4946.1478481012655,79,8361.086245,105.83653474683545,199.82398269178753,3.0333498607594938,7.629637709299519,0.6835443037974683,1,83,Extreme Greed,2024-03-03 05:30:00,390745.68,105.83653474683545,0.529648810523809
2024-03-04,1577996.87,5259.989566666667,300,27799.775742,92.66591914,152.8211043688667,419.88134141,5126.79646418248,0.8866666666666667,2,82,Extreme Greed,2024-03-04 05:30:00,788998.435,92.66591914,0.6063686002185327
2024-03-05,841810.32,4676.724,180,19791.026041,109.95014467222222,195.65804028577477,0.3816785944444444,0.7007169708826589,0.9055555555555556,1,90,Extreme Greed,2024-03-05 05:30:00,841810.32,109.95014467222222,0.5619505567551987
2024-03-06,327218.02,3990.4636585365856,82,6814.825139,83.10762364634145,146.9693030530839,1.7171503902439025,1.9360757462923552,0.8780487804878049,1,75,Extreme Greed,2024-03-06 05:30:00,327218.02,83.10762364634145,0.5654760682666079
