date,value,signal,strategy_return,cumulative_return
2024-10-25,72,HOLD,0.0,-148825.08066299994
2024-10-27,74,HOLD,0.0,-148825.08066299994
2024-10-28,72,HOLD,0.0,-148825.08066299994
2024-10-29,72,HOLD,0.0,-148825.08066299994
2024-10-30,77,SELL,-1214.043811,-150039.12447399995
2024-10-31,77,SELL,-1040.475736,-151079.60020999995
2024-11-01,75,SELL,-0.0,-151079.60020999995
2024-11-02,72,HOLD,0.0,-151079.60020999995
2024-11-03,74,HOLD,0.0,-151079.60020999995
2024-11-04,70,HOLD,0.0,-151079.60020999995
2024-11-05,70,HOLD,0.0,-151079.60020999995
2024-11-06,70,HOLD,0.0,-151079.60020999995
2024-11-07,77,SELL,64.41354100000007,-151015.18666899996
2024-11-08,75,SELL,-102.90894,-151118.09560899995
2024-11-09,75,SELL,-991.114334,-152109.20994299997
2024-11-10,78,SELL,-6749.630996,-158858.84093899996
2024-11-11,76,SELL,-3494.399394,-162353.24033299997
2024-11-12,80,SELL,-7846.402274,-170199.64260699996
2024-11-13,84,SELL,-4563.509225,-174763.15183199994
2024-11-14,88,SELL,-4140.740438,-178903.89226999995
2024-11-15,80,SELL,-2769.521909,-181673.41417899996
2024-11-16,86,SELL,-882.975285,-182556.38946399995
2024-11-17,90,SELL,-4470.815187,-187027.20465099995
2024-11-18,83,SELL,-2958.268991,-189985.47364199994
2024-11-19,90,SELL,-4210.0928969999995,-194195.56653899993
2024-11-20,83,SELL,-1692.430891,-195887.99742999993
2024-11-21,82,SELL,18105.345617,-177782.65181299992
2024-11-22,94,SELL,-2901.531638,-180684.1834509999
2024-11-23,93,SELL,-945.550386,-181629.7338369999
2024-11-24,80,SELL,-5523.740734,-187153.47457099988
2024-11-25,82,SELL,-1094.809359,-188248.2839299999
2024-11-26,79,SELL,2654.495633,-185593.78829699988
2024-11-27,75,SELL,127075.39958499999,-58518.38871199988
2024-11-28,77,SELL,-176844.994152,-235363.38286399987
2024-11-29,78,SELL,-37316.69352,-272680.0763839999
2024-11-30,84,SELL,-40886.364494,-313566.4408779999
2024-12-01,81,SELL,-18489.604313,-332056.04519099987
2024-12-02,80,SELL,-23576.539285,-355632.5844759999
2024-12-03,76,SELL,-292891.815021,-648524.3994969998
2024-12-04,78,SELL,-71574.11848800001,-720098.5179849998
2024-12-05,84,SELL,92624.643895,-627473.8740899998
2024-12-06,72,HOLD,0.0,-627473.8740899998
2024-12-07,75,SELL,-15965.933436,-643439.8075259998
2024-12-08,79,SELL,-6310.967676,-649750.7752019998
2024-12-09,78,SELL,-39325.770231,-689076.5454329998
2024-12-10,78,SELL,-319051.554217,-1008128.0996499999
2024-12-11,74,HOLD,0.0,-1008128.0996499999
2024-12-12,83,SELL,-31935.901745,-1040064.0013949999
2024-12-13,76,SELL,-167801.399244,-1207865.4006389999
2024-12-14,83,SELL,-97525.315279,-1305390.7159179999
2024-12-15,80,SELL,-166774.344133,-1472165.0600509997
2024-12-16,83,SELL,-219591.305172,-1691756.3652229998
2024-12-17,87,SELL,-13682.994673,-1705439.3598959998
2024-12-18,81,SELL,-62744.004486000005,-1768183.3643819997
2024-12-19,75,SELL,-254969.660039,-2023153.0244209997
2024-12-20,74,HOLD,0.0,-2023153.0244209997
2024-12-21,73,HOLD,0.0,-2023153.0244209997
2024-12-22,73,HOLD,0.0,-2023153.0244209997
2024-12-23,70,HOLD,0.0,-2023153.0244209997
2024-12-24,73,HOLD,0.0,-2023153.0244209997
2024-12-25,73,HOLD,0.0,-2023153.0244209997
2024-12-26,79,SELL,-2672.811035,-2025825.8354559997
2024-12-27,74,HOLD,0.0,-2025825.8354559997
2024-12-28,72,HOLD,0.0,-2025825.8354559997
2024-12-29,73,HOLD,0.0,-2025825.8354559997
2024-12-30,65,HOLD,0.0,-2025825.8354559997
2024-12-31,64,HOLD,0.0,-2025825.8354559997
2025-01-01,66,HOLD,0.0,-2025825.8354559997
2025-01-02,70,HOLD,0.0,-2025825.8354559997
2025-01-03,74,HOLD,0.0,-2025825.8354559997
